TrialDate,TrialDateRE,TimeTrialStart,Trial,BugNumber,COMBO,ComboOrientation,OutsideTemperature,OutsideHumidity,DaysKBstarved,ColonyORpositiveBugNumber,Species,LifeStage,KBsex,Engorgement,TcruziStatus,qPCRconfirmed,cultureConfirmed,DogWeightkg,DogHeightcm,ChickenWeightkg,ChickenHeightcm,HumanWeightkg,HumanHeightcm,LeftHostMINtemp,LeftHost MAXtemp MAX,LeftHostAVGtemp,LeftHostMMINHumidity,LeftHostMAXHumidity,LeftHostAVGHumidity,RightHostMINtemp,RightHostMAXtemp,RightHostAVGtemp,RightHostMINHumidity,RightHostMAXhumidity,RightHostAVGhumidity,AverageDogTemp,AverageDogHumidity,AverageDogCO2,AverageChickenTemp,AverageChickenHumidity,AverageChickenCO2,AverageHumanTemp,AverageHumanHumidity,AverageHumanCO2,AverageRoomTemp,AverageRoomHumidity,Participate,Outcome,dog,chicken,human,empty,NoChoice,NeverLeft,OutcomeNumeric,L0R1,VIDEODurationBeforeBugDropped,VIDEOtrialLength,VIDEOdurationUntilKBleftStartingPoint,KBParticipatingsec,KBactivesec,VIDEOdurationTimeBugInOlfactommmeter,VIDEOchoiceLR,TimeSpentNearDog,TimeSpentNearChicken,TimeSpentNearHuman,TimeSpentNearEmpty,TimeSpentOutcome,TimeSpentMost,VIDEOdurationLEFTsec,VIDEOdurationRIGHTsec,VIDEOdurationBOTHsec,VIDEOdurationLEFTmin,VIDEOdurationRIGHTmin,VIDEOdurationBOTHmin,VIDEOkbOnBothSidesY1N0,VIDEOporportionNearDOG,VIDEOporportionNearCHICKEN,VIDEOporportionNearHUMAN,VIDEOporportionNearEMPTY,VIDEOporportionNearEMPTYleft,VIDEOporportionNearEMPTYright,VIDEOmoreThan50nearDOG,VIDEOmoreThan50nearCHICKEN,VIDEOmoreThan50nearHUMAN,VIDEOmoreThan50nearEMPTY,VIDEOmorethan50nearEMPTYleft,VIDEOmoreThan50nearEMPTYright
220202,2/2/22,5:00:00 PM,10,22,H vs C,H vs C,60,93,31,117,T. gerstaeckeri,5,NA,NR,0,0,0,NA,NA,1.61,45.72,77.09750567,160.2,20.9,23.6,22.25,53,59,56,20,20.8,20.4,62,65,63.5,NA,NA,NA,20.4,63.5,534,22.25,56,493.5,22.7,60.13333333,1,Chicken,NA,1,0,NA,0,0,4,1,0:08:40,1:00:00,0:04:50,290,328,0:05:28,R,NA,144.68,66.19,NA,Both,Chicken,66.19,144.68,210.87,0:01:06,0:02:24,0:03:30,1,NA,68.61056666,31.38943334,NA,NA,NA,NA,1,0,NA,NA,NA
220216,2/16/22,2:00:00 PM,8,23,D vs C,C vs D,74,60,NA,117,T. gerstaeckeri,5,NA,2,0,0,0,24.255,32,1.61,45.72,NA,NA,16,23.1,19.55,53,56,54.5,22.1,22.7,22.4,56,64,60,22.4,60,432.3333333,19.55,54.5,429.3333333,NA,NA,NA,24.175,60.225,1,Chicken,0,1,NA,NA,0,0,4,0,0:06:32,1:00:00,NA,NA,838,0:13:58,L,0,82.93,NA,NA,Chicken,Chicken,82.93,0,82.93,0:01:22,0:00:00,0:01:22,0,0,100,NA,NA,NA,NA,0,1,NA,NA,NA,NA
220216,2/16/22,4:38:00 PM,13,25,H vs C,C vs H,67,92,45,117,T. gerstaeckeri,5,NA,2,0,0,0,NA,NA,1.61,45.72,85.26077098,182.88,18.4,22.8,20.6,62,64,63,21.8,23.5,22.65,70,83,76.5,NA,NA,NA,20.6,63,449,22.65,76.5,467.5,38.53333333,56.46666667,1,Chicken,NA,1,0,NA,0,0,4,0,0:06:34,1:00:00,0:11:28,688,350,0:05:50,L,NA,258.92,0,NA,Chicken,Chicken,258.92,0,258.92,0:04:18,0:00:00,0:04:18,0,NA,100,0,NA,NA,NA,NA,1,0,NA,NA,NA
220223,2/23/22,12:41:00 PM,14,26,E vs C,E vs C,34,76,52,117,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,1.61,45.72,NA,NA,17.4,27,22.2,26,19.7,22.85,17,17.8,17.4,31,34,32.5,NA,NA,NA,17.4,32.5,476.7142857,NA,NA,NA,17.75,28.475,1,No choice,NA,0,NA,0,1,0,2,NA,0:07:21,1:00:00,0:37:09,2229,3159,0:52:39,NA,NA,148.68,NA,0,Chicken,Chicken,0,148.68,148.68,0:00:00,0:02:28,0:02:28,0,NA,100,NA,0,NA,NA,NA,1,NA,0,NA,NA
220309,3/9/22,1:07:00 PM,18,29,E vs H,E vs H,57,40,15,26,T. gerstaeckeri,5,NA,2,0,0,0,NA,NA,NA,NA,85.26077098,182.88,26,27,26.5,18.8,21.7,20.25,18.2,20.1,19.15,34,38,36,NA,NA,NA,NA,NA,NA,19.15,36,442.5714286,21.05,28.625,1,No choice,NA,NA,0,0,1,0,2,NA,NA,1:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220405,4/5/22,12:21:00 PM,32,37,D vs H,D vs H,83,66,42,49,T. gerstaeckeri,5,NA,0,0,0,0,147.735,63.5,NA,NA,85.26077098,182.88,23.6,27.5,25.55,72,84,78,23.1,27.3,25.2,85,95,90,25.55,78,455,NA,NA,NA,25.2,90,444.2857143,26.6625,80.725,1,No choice,0,0,NA,NA,1,0,2,NA,0:05:55,1:00:00,0:18:23,1103,2142,0:35:42,NA,45.08,NA,92.73,NA,Both,Human,45.08,92.73,137.81,0:00:45,0:01:32,0:02:17,1,32.71389614,NA,67.28610386,NA,NA,NA,0,NA,1,NA,NA,NA
220405,4/5/22,1:53:00 PM,35,38,D vs H,D vs H,88,57,42,49,T. gerstaeckeri,Adult,,1,0,0,0,147.735,63.5,NA,NA,85.26077098,182.88,1.5,27.6,14.55,66,69,67.5,25.5,27.1,26.3,80,93,86.5,14.55,67.5,492,NA,NA,NA,26.3,86.5,466.3333333,27.85,74.35,1,Dog,1,NA,0,NA,0,0,5,0,0:05:15,1:00:00,0:08:33,513,533,0:08:53,L,19.93,NA,0,NA,Dog,Dog,19.93,0,19.93,0:00:19,0:00:00,0:00:19,0,100,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA
220405,4/5/22,7:51:00 AM,16,41,H vs C,C vs H,86,47,42,49,T. gerstaeckeri,NR,NR,0,0,0,0,NA,NA,1.61,45.72,72.56235828,172.72,24,28.6,26.3,49,50,49.5,27.8,28.5,28.15,60,76,68,NA,NA,NA,26.3,49.5,418.3333333,28.15,68,420,29.83333333,50,1,Human,NA,0,1,NA,0,0,6,1,0:05:30,1:00:00,0:03:58,238,435,0:07:15,R,NA,0,107.99,NA,Human,Human,0,107.99,107.99,0:00:00,0:01:47,0:01:47,0,NA,0,100,NA,NA,NA,NA,0,1,NA,NA,NA
220406,4/6/22,10:42:00 PM,36,43,D vs C,C vs D,68,47,43,49,T. gerstaeckeri,5,NA,0,0,0,0,147.735,63.5,1.61,45.72,NA,NA,23.4,24,23.7,38,40,39,22.2,23.9,23.05,48,57,52.5,23.05,52.5,434.25,23.7,39,431.25,NA,NA,NA,24.54,43.24,1,Dog,1,0,NA,NA,0,0,5,1,0:05:31,1:00:00,0:04:57,297,1194,0:19:54,R,191.7,135.17,NA,NA,Both,Dog,135.17,191.7,326.87,0:02:15,0:03:11,0:05:26,1,58.64751631,41.35248369,NA,NA,NA,NA,1,0,NA,NA,NA,NA
220426,4/26/22,1:23:00 PM,41,46,E vs D,E vs D,73,59,49,29.9,T. gerstaeckeri,5,NA,1,0,0,0,147.735,63.5,NA,NA,NA,NA,21.2,21.6,21.4,62,69,65.5,21.1,21.5,21.3,83,87,85,21.3,85,443,NA,NA,NA,NA,NA,NA,22.72,75.42,1,Empty,0,NA,NA,1,0,0,3,0,0:06:40,1:00:00,NA,415,1133,0:18:53,L,0,NA,NA,54.01,Empty,Empty,54.01,0,54.01,0:00:54,0:00:00,0:00:54,0,0,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA
