TrialDate,TrialDateRE,TimeTrialStart,Trial,BugNumber,COMBO,ComboOrientation,OutsideTemperature,OutsideHumidity,DaysKBstarved,ColonyORpositiveBugNumber,Species,LifeStage,KBsex,Engorgement,TcruziStatus,qPCRconfirmed,cultureConfirmed,DogWeightkg,DogHeightcm,ChickenWeightkg,ChickenHeightcm,HumanWeightkg,HumanHeightcm,LeftHostMINtemp,LeftHost MAXtemp MAX,LeftHostAVGtemp,LeftHostMMINHumidity,LeftHostMAXHumidity,LeftHostAVGHumidity,RightHostMINtemp,RightHostMAXtemp,RightHostAVGtemp,RightHostMINHumidity,RightHostMAXhumidity,RightHostAVGhumidity,AverageDogTemp,AverageDogHumidity,AverageDogCO2,AverageChickenTemp,AverageChickenHumidity,AverageChickenCO2,AverageHumanTemp,AverageHumanHumidity,AverageHumanCO2,AverageRoomTemp,AverageRoomHumidity,Participate,Outcome,dog,chicken,human,empty,NoChoice,NeverLeft,OutcomeNumeric,L0R1,VIDEODurationBeforeBugDropped,VIDEOtrialLength,VIDEOdurationUntilKBleftStartingPoint,KBParticipatingsec,KBactivesec,VIDEOdurationTimeBugInOlfactommmeter,VIDEOchoiceLR,TimeSpentNearDog,TimeSpentNearChicken,TimeSpentNearHuman,TimeSpentNearEmpty,TimeSpentOutcome,TimeSpentMost,VIDEOdurationLEFTsec,VIDEOdurationRIGHTsec,VIDEOdurationBOTHsec,VIDEOdurationLEFTmin,VIDEOdurationRIGHTmin,VIDEOdurationBOTHmin,VIDEOkbOnBothSidesY1N0,VIDEOporportionNearDOG,VIDEOporportionNearCHICKEN,VIDEOporportionNearHUMAN,VIDEOporportionNearEMPTY,VIDEOporportionNearEMPTYleft,VIDEOporportionNearEMPTYright,VIDEOmoreThan50nearDOG,VIDEOmoreThan50nearCHICKEN,VIDEOmoreThan50nearHUMAN,VIDEOmoreThan50nearEMPTY,VIDEOmorethan50nearEMPTYleft,VIDEOmoreThan50nearEMPTYright
220202,2/2/22,5:00:00 PM,10,22,H vs C,H vs C,60,93,31,117,T. gerstaeckeri,5,NA,NR,0,0,0,NA,NA,1.61,45.72,77.09750567,160.2,20.9,23.6,22.25,53,59,56,20,20.8,20.4,62,65,63.5,NA,NA,NA,20.4,63.5,534,22.25,56,493.5,22.7,60.13333333,1,Chicken,NA,1,0,NA,0,0,4,1,0:08:40,1:00:00,0:04:50,290,328,0:05:28,R,NA,144.68,66.19,NA,Both,Chicken,66.19,144.68,210.87,0:01:06,0:02:24,0:03:30,1,NA,68.61056666,31.38943334,NA,NA,NA,NA,1,0,NA,NA,NA
220216,2/16/22,2:00:00 PM,8,23,D vs C,C vs D,74,60,NA,117,T. gerstaeckeri,5,NA,2,0,0,0,24.255,32,1.61,45.72,NA,NA,16,23.1,19.55,53,56,54.5,22.1,22.7,22.4,56,64,60,22.4,60,432.3333333,19.55,54.5,429.3333333,NA,NA,NA,24.175,60.225,1,Chicken,0,1,NA,NA,0,0,4,0,0:06:32,1:00:00,NA,NA,838,0:13:58,L,0,82.93,NA,NA,Chicken,Chicken,82.93,0,82.93,0:01:22,0:00:00,0:01:22,0,0,100,NA,NA,NA,NA,0,1,NA,NA,NA,NA
220216,2/16/22,3:04:00 PM,12,24,D vs C,D vs C,74,61,NA,117,T. gerstaeckeri,5,NA,0,0,0,0,24.255,32,1.61,45.72,NA,NA,55,65,60,23.1,23.4,23.25,22,22.5,22.25,60,70,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.475,65.4125,0,Never left,0,0,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220216,2/16/22,4:38:00 PM,13,25,H vs C,C vs H,67,92,45,117,T. gerstaeckeri,5,NA,2,0,0,0,NA,NA,1.61,45.72,85.26077098,182.88,18.4,22.8,20.6,62,64,63,21.8,23.5,22.65,70,83,76.5,NA,NA,NA,20.6,63,449,22.65,76.5,467.5,38.53333333,56.46666667,1,Chicken,NA,1,0,NA,0,0,4,0,0:06:34,1:00:00,0:11:28,688,350,0:05:50,L,NA,258.92,0,NA,Chicken,Chicken,258.92,0,258.92,0:04:18,0:00:00,0:04:18,0,NA,100,0,NA,NA,NA,NA,1,0,NA,NA,NA
220223,2/23/22,12:41:00 PM,14,26,E vs C,E vs C,34,76,52,117,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,1.61,45.72,NA,NA,17.4,27,22.2,26,19.7,22.85,17,17.8,17.4,31,34,32.5,NA,NA,NA,17.4,32.5,476.7142857,NA,NA,NA,17.75,28.475,1,No choice,NA,0,NA,0,1,0,2,NA,0:07:21,1:00:00,0:37:09,2229,3159,0:52:39,NA,NA,148.68,NA,0,Chicken,Chicken,0,148.68,148.68,0:00:00,0:02:28,0:02:28,0,NA,100,NA,0,NA,NA,NA,1,NA,0,NA,NA
220223,2/23/22,2:49:00 PM,15,27,H vs C,C vs H,NA,NA,52,117,T. gerstaeckeri,5,NA,NR,0,0,0,NA,NA,1.61,45.72,77.09750567,160.2,18.2,20.1,19.15,26,27,26.5,17.5,21.5,19.5,33,41,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.475,25.55,0,Never left,NA,0,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220309,3/9/22,1:07:00 PM,18,29,E vs H,E vs H,57,40,15,26,T. gerstaeckeri,5,NA,2,0,0,0,NA,NA,NA,NA,85.26077098,182.88,26,27,26.5,18.8,21.7,20.25,18.2,20.1,19.15,34,38,36,NA,NA,NA,NA,NA,NA,19.15,36,442.5714286,21.05,28.625,1,No choice,NA,NA,0,0,1,0,2,NA,NA,1:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220309,3/9/22,2:58:00 PM,19,30,D vs C,D vs C,57,34,15,26,T. gerstaeckeri,5,NA,2,0,0,0,24.255,32,1.61,45.72,NA,NA,18.8,21.7,20.25,26,27,26.5,18.2,20.1,19.15,34,38,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,27.3,0,Never left,0,0,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220316,3/16/22,4:00:00 PM,20,31,E vs C,C vs E,79,34,22,26,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,1.61,45.72,NA,NA,24.4,25.2,24.8,33,36,34.5,23.7,24.3,24,41,43,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7625,35.8875,0,Never left,NA,0,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220316,3/16/22,NA,21,32,E vs E,E vs E,71,44,22,26,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,23.8,24.1,23.95,32,33,32.5,23,23.3,23.15,40,41,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,39.05,1,Empty,NA,NA,NA,1,0,0,3,1,0:00:00,1:00:00,0:03:08,188,298,0:04:58,R,NA,NA,NA,88.89,Empty,Empty,0,88.89,88.89,0:00:00,0:01:28,0:01:28,0,NA,NA,NA,NA,0,100,NA,NA,NA,NA,0,1
